100	0.7	1.434	0.3
200	1.2	0.9057	0.2
300	1.6	1.085	0.4
400	2.1	1.054	0.7
500	2.2	1.306	0.2
600	2.6	4.609	0.2
700	3.1	1.897	0.2
800	3.5	2.986	0.3
900	3.8	1.756	0.2
1000	3.9	3.03	0.5
