100		0.03859		0.01121
200		0.12509		0.04999
300		0.29942		0.08559
400		0.514		0.14293
500		0.74449		0.43629
600		1.19718		0.33078
700		2.01638		0.72426
800		2.88031		0.8633
900		2.26751		0.85792
1000		2.76842		0.91807
